,國文,英文,數學,社會,自然
0,9,15,11,13,7
1,14,14,12,6,15
2,9,7,7,9,14
3,7,10,15,14,6
4,6,9,10,11,12
5,14,15,13,15,7
6,8,12,11,9,10
7,7,15,13,10,15
8,7,10,11,15,10
9,8,13,13,12,7
10,8,9,7,15,15
11,6,7,12,10,14
12,12,8,15,9,8
13,9,10,8,7,8
14,12,9,9,6,10
15,7,11,10,10,13
16,13,13,10,9,9
17,14,15,12,10,13
18,14,12,15,6,15
19,7,6,8,7,8
20,10,8,14,15,13
21,10,12,15,10,15
22,7,9,13,6,13
23,8,12,9,6,9
24,14,12,11,6,15
25,10,13,14,6,12
26,14,6,6,15,10
27,11,7,8,7,12
28,8,8,15,10,13
29,13,6,13,15,11
30,14,10,12,6,6
31,9,11,10,9,6
32,12,9,7,6,11
33,10,15,10,10,14
34,9,14,6,11,9
35,15,7,9,6,8
36,14,15,13,8,8
37,9,9,13,7,7
38,8,11,15,9,10
39,14,9,9,12,14
40,8,15,8,11,15
41,8,8,8,11,7
42,12,15,10,12,15
43,13,11,11,13,6
44,13,7,7,15,15
45,13,14,15,15,6
46,15,13,12,11,8
47,7,11,8,9,6
48,11,11,11,12,11
49,12,6,13,12,9
50,7,14,13,7,8
51,13,15,6,10,9
52,7,6,11,12,9
53,9,15,13,11,6
54,6,11,6,12,6
55,15,13,10,11,6
56,13,10,15,14,10
57,13,13,8,13,10
58,11,11,12,6,13
59,13,15,12,13,11
60,14,9,6,8,6
61,7,11,8,14,8
62,15,11,10,8,12
63,7,13,11,11,7
64,10,6,14,15,14
65,7,15,12,15,11
66,8,12,9,11,11
67,11,15,6,8,14
68,9,6,6,15,11
69,13,10,15,7,8
70,9,12,15,11,15
71,11,8,12,12,8
72,8,6,12,9,14
73,14,15,11,14,7
74,7,12,7,14,15
75,9,10,7,11,15
76,6,12,12,10,13
77,14,7,10,9,11
78,15,8,7,14,13
79,9,11,9,9,8
80,13,10,14,15,15
81,10,8,14,9,7
82,8,13,9,7,9
83,6,6,14,15,14
84,8,13,11,12,9
85,9,15,7,7,11
86,10,12,13,12,10
87,12,12,15,12,8
88,6,8,13,13,9
89,9,6,10,12,11
90,10,13,11,15,8
91,8,9,10,6,7
92,11,10,6,11,11
93,15,14,9,10,9
94,11,7,12,13,13
95,10,15,7,8,7
96,12,13,13,6,10
97,12,7,8,15,7
98,8,12,9,7,9
99,9,11,14,13,7
